ID,Picture,Name_German,Name_English,Name_Japanese,Name_Japanese2,Generazion_Picture,Type,KP ,Status_Attack,Status_SpecialAttack,Status_Defense,Status_SpecialDefense,Status_Initiative,Status_Sum,Class,Height_m,Weight_kg,Color,Form,Name_Form
133,Evoli ,Evoli ,Eevee ,Eievui ,イーブイ ,1. Generation Gen1 ,Normal,314,209,189,199,229,209,1349,LC,0.3,6.5,brown,Form 8: Vierbeiner ,Evolution
134,Aquana ,Aquana ,Vaporeon ,Showers ,シャワーズ ,1. Generation Gen1 ,Wasser,464,229,319,219,289,229,1749,NU,1,29,blue,Form 8: Vierbeiner ,Blubblase
135,Blitza ,Blitza ,Jolteon ,Thunders ,サンダース ,1. Generation Gen1 ,Elektro,334,229,319,219,289,359,1749,RU,0.8,24.5,yellow,Form 8: Vierbeiner ,Blitz
136,Flamara ,Flamara ,Flareon ,Booster ,ブースター ,1. Generation Gen1 ,Feuer,334,359,289,219,319,229,1749,PU,0.9,25,red,Form 8: Vierbeiner ,Feuer
137,Porygon ,Porygon ,Porygon ,Porygon ,ポリゴン ,1. Generation Gen1 ,Normal,334,219,269,239,249,179,1489,NFE,0.8,36.5,pink,Form 7: Kopf überwiegend mit Beinen ,Virtuell
138,Amonitas ,Amonitas ,Omanyte ,Omnite ,オムナイト ,1. Generation Gen1 ,GesteinWasser,274,179,279,299,209,169,1409,LC,0.4,7.5,blue,Form 10: Tentakel-Körper ,Spirale
139,Amoroso ,Amoroso ,Omastar ,Omstar ,オムスター ,1. Generation Gen1 ,GesteinWasser,344,219,329,349,239,209,1689,NU,1,35,blue,Form 10: Tentakel-Körper ,Spirale
140,Kabuto ,Kabuto ,Kabuto ,Kabuto ,カブト ,1. Generation Gen1 ,GesteinWasser,264,259,209,279,189,209,1409,LC,0.5,11.5,brown,Form 14: Kriechende Insekten ,Schaltier
141,Kabutops ,Kabutops ,Kabutops ,Kabutops ,カブトプス ,1. Generation Gen1 ,GesteinWasser,324,329,229,309,239,259,1689,NU,1.3,40.5,brown,Form 6: Zweibeiner mit Schweif ,Schaltier
142,Aerodactyl ,Aerodactyl ,Aerodactyl ,Ptera ,プテラ ,1. Generation Gen1 ,GesteinFlug,364,309,219,229,249,359,1729,UU,1.8,59,purple,Form 9: Vogel-Form ,Fossil
143,Relaxo ,Relaxo ,Snorlax ,Kabigon ,カビゴン ,1. Generation Gen1 ,Normal,524,319,229,229,319,159,1779,RU,2.1,460,black,Form 12: Humanoider Körper ,Tagträumer
144,Arktos ,Arktos ,Articuno ,Freezer ,フリーザー ,1. Generation Gen1 ,EisFlug,384,269,289,299,349,269,1859,PU,1.7,55.4,blue,Form 9: Vogel-Form ,Eis
145,Zapdos ,Zapdos ,Zapdos ,Thunder ,サンダー ,1. Generation Gen1 ,ElektroFlug,384,279,349,269,279,299,1859,OU,1.6,52.6,yellow,Form 9: Vogel-Form ,Elektro
146,Lavados ,Lavados ,Moltres ,Fire ,ファイヤー ,1. Generation Gen1 ,FeuerFlug,384,299,349,279,269,279,1859,RU,2,60,yellow,Form 9: Vogel-Form ,Flamme
147,Dratini ,Dratini ,Dratini ,Miniryu ,ミニリュウ ,1. Generation Gen1 ,Drache,286,227,199,189,199,199,1299,LC,1.8,3.3,blue,Form 2: Schlangen-Form ,Drache
148,Dragonir ,Dragonir ,Dragonair ,Hakuryu ,ハクリュー ,1. Generation Gen1 ,Drache,326,267,239,229,239,239,1539,NFE,4,16.5,blue,Form 2: Schlangen-Form ,Drache
149,Dragoran ,Dragoran ,Dragonite ,Kairyu ,カイリュー ,1. Generation Gen1 ,DracheFlug,386,367,299,289,299,259,1899,OU,2.2,210,brown,Form 6: Zweibeiner mit Schweif ,Drache
150,Mewtu ,Mewtu ,Mewtwo ,Mewtwo ,ミュウツー ,1. Generation Gen1 ,Psycho,416,319,407,279,279,359,2059,Uber,2,122,purple,Form 6: Zweibeiner mit Schweif ,Genmutant
151,Mew ,Mew ,Mew ,Mew ,ミュウ ,1. Generation Gen1 ,Psycho,404,299,299,299,299,299,1899,OU,0.4,4,pink,Form 6: Zweibeiner mit Schweif ,Neue Art
152,Endivie ,Endivie ,Chikorita ,Chicorita ,チコリータ ,2. Generation Gen2 ,Pflanze,294,197,197,229,229,189,1335,LC,0.9,6.4,green,Form 8: Vierbeiner ,Laub
153,Lorblatt ,Lorblatt ,Bayleef ,Bayleaf ,ベイリーフ ,2. Generation Gen2 ,Pflanze,324,223,225,259,259,219,1509,NFE,1.2,15.8,green,Form 8: Vierbeiner ,Laub
154,Meganie ,Meganie ,Meganium ,Meganium ,メガニウム ,2. Generation Gen2 ,Pflanze,364,263,265,299,299,259,1749,PU,1.8,100.5,green,Form 8: Vierbeiner ,Kräuter
155,Feurigel ,Feurigel ,Cyndaquil ,Hinoarashi ,ヒノアラシ ,2. Generation Gen2 ,Feuer,282,203,219,185,199,229,1317,LC,0.5,7.9,yellow,Form 12: Humanoider Körper ,Feuermaus
156,Igelavar ,Igelavar ,Quilava ,Magmarashi ,マグマラシ ,2. Generation Gen2 ,Feuer,320,227,259,215,229,259,1509,NFE,0.9,19,yellow,Form 8: Vierbeiner ,Vulkan
157,Tornupto ,Tornupto ,Typhlosion ,Bakphoon ,バクフーン ,2. Generation Gen2 ,Feuer,360,267,317,255,269,299,1767,NU,1.7,79.5,yellow,Form 8: Vierbeiner ,Vulkan
158,Karnimani ,Karnimani ,Totodile ,Waninoko ,ワニノコ ,2. Generation Gen2 ,Wasser,304,229,187,227,195,185,1327,LC,0.6,9.5,blue,Form 6: Zweibeiner mit Schweif ,Großmaul
159,Tyracroc ,Tyracroc ,Croconaw ,Alligates ,アリゲイツ ,2. Generation Gen2 ,Wasser,334,259,217,259,225,215,1509,NFE,1.1,25,blue,Form 6: Zweibeiner mit Schweif ,Großmaul
160,Impergator ,Impergator ,Feraligatr ,Ordile ,オーダイル ,2. Generation Gen2 ,Wasser,374,309,257,299,265,255,1759,RU,2.3,88.8,blue,Form 6: Zweibeiner mit Schweif ,Großmaul
161,Wiesor ,Wiesor ,Sentret ,Otachi ,オタチ ,2. Generation Gen2 ,Normal,274,191,169,167,189,139,1129,LC,0.8,6,brown,Form 8: Vierbeiner ,Späher
162,Wiesenior ,Wiesenior ,Furret ,Ootachi ,オオタチ ,2. Generation Gen2 ,Normal,374,251,189,227,209,279,1529,PU,1.8,32.5,brown,Form 8: Vierbeiner ,Langleib
163,Hoothoot ,Hoothoot ,Hoothoot ,Hoho ,ホーホー ,2. Generation Gen2 ,NormalFlug,324,159,171,159,211,199,1223,LC,0.7,21.2,brown,Form 9: Vogel-Form ,Eule
164,Noctuh ,Noctuh ,Noctowl ,Yorunozuku ,ヨルノズク ,2. Generation Gen2 ,NormalFlug,404,199,271,199,291,239,1603,PU,1.6,40.8,brown,Form 9: Vogel-Form ,Eule
165,Ledyba ,Ledyba ,Ledyba ,Rediba ,レディバ ,2. Generation Gen2 ,KäferFlug,284,139,179,159,259,209,1229,LC,1,10.8,red,Form 9: Vogel-Form ,Fünf-Punkt
166,Ledian ,Ledian ,Ledian ,Redian ,レディアン ,2. Generation Gen2 ,KäferFlug,314,169,209,199,319,269,1479,PU,1.4,35.6,red,Form 9: Vogel-Form ,Fünf-Punkt
167,Webarak ,Webarak ,Spinarak ,Itomaru ,イトマル ,2. Generation Gen2 ,KäferGift,284,219,179,179,179,159,1199,LC,0.5,8.5,green,Form 14: Kriechende Insekten ,Fadenwurf
168,Ariados ,Ariados ,Ariados ,Ariados ,アリアドス ,2. Generation Gen2 ,KäferGift,344,279,219,239,239,179,1499,PU,1.1,33.5,red,Form 14: Kriechende Insekten ,Langbein
169,Iksbat ,Iksbat ,Crobat ,Crobat ,クロバット ,2. Generation Gen2 ,GiftFlug,374,279,239,259,259,359,1769,UU,1.8,75,purple,Form 13: Geflügelte Insekten ,Fledermaus
170,Lampi ,Lampi ,Chinchou ,Chonchie ,チョンチー ,2. Generation Gen2 ,WasserElektro,354,175,211,175,211,233,1359,LC,0.5,12,blue,Form 3: Fisch-Form ,Angler
171,Lanturn ,Lanturn ,Lanturn ,Lantern ,ランターン ,2. Generation Gen2 ,WasserElektro,454,215,251,215,251,233,1619,NU,1.2,22.5,blue,Form 3: Fisch-Form ,Leuchte
172,Pichu ,Pichu ,Pichu ,Pichu ,ピチュー ,2. Generation Gen2 ,Elektro,244,179,169,129,169,219,1109,LC,0.3,2,yellow,Form 8: Vierbeiner ,Babymaus
173,Pii ,Pii ,Cleffa ,Py ,ピィ ,2. Generation Gen2 ,Fee,304,149,189,155,209,129,1135,LC,0.3,3,pink,Form 6: Zweibeiner mit Schweif ,Sternform
174,Fluffeluff ,Fluffeluff ,Igglybuff ,Pupurin ,ププリン ,2. Generation Gen2 ,NormalFee,384,159,179,129,139,129,1119,LC,0.3,1,pink,Form 12: Humanoider Körper ,Ballon
175,Togepi ,Togepi ,Togepi ,Togepy ,トゲピー ,2. Generation Gen2 ,Fee,274,139,179,229,229,139,1189,LC,0.3,1.5,white,Form 12: Humanoider Körper ,Zackenball
176,Togetic ,Togetic ,Togetic ,Togechick ,トゲチック ,2. Generation Gen2 ,FeeFlug,314,179,259,269,309,179,1509,NFE,0.6,3.2,white,Form 12: Humanoider Körper ,Freude
177,Natu ,Natu ,Natu ,Naty ,ネイティ ,2. Generation Gen2 ,PsychoFlug,284,199,239,189,189,239,1339,LC,0.2,2,green,Form 9: Vogel-Form ,Kleinvogel
178,Xatu ,Xatu ,Xatu ,Natio ,ネイティオ ,2. Generation Gen2 ,PsychoFlug,334,249,289,239,239,289,1639,NU,1.5,15,green,Form 9: Vogel-Form ,Mystik
179,Voltilamm ,Voltilamm ,Mareep ,Merriep ,メリープ ,2. Generation Gen2 ,Elektro,314,179,229,179,189,169,1259,LC,0.6,7.8,white,Form 8: Vierbeiner ,Wolle
180,Waaty ,Waaty ,Flaaffy ,Mokoko ,モココ ,2. Generation Gen2 ,Elektro,344,209,259,209,219,189,1429,NFE,0.8,13.3,pink,Form 6: Zweibeiner mit Schweif ,Wolle
181,Ampharos ,Ampharos ,Ampharos ,Denryu ,デンリュウ ,2. Generation Gen2 ,Elektro,384,249,329,269,279,209,1719,UU,1.4,61.5,yellow,Form 6: Zweibeiner mit Schweif ,Leuchte
182,Blubella ,Blubella ,Bellossom ,Kireihana ,キレイハナ ,2. Generation Gen2 ,Pflanze,354,259,279,289,299,199,1679,PU,0.4,5.8,green,Form 12: Humanoider Körper ,Blume
183,Marill ,Marill ,Marill ,Maril ,マリル ,2. Generation Gen2 ,WasserFee,344,139,139,199,199,179,1199,NFE,0.4,8.5,blue,Form 6: Zweibeiner mit Schweif ,Aquamaus
184,Azumarill ,Azumarill ,Azumarill ,Marilli ,マリルリ ,2. Generation Gen2 ,WasserFee,404,199,219,259,259,199,1539,UU,0.8,28.5,blue,Form 6: Zweibeiner mit Schweif ,Aquahase
185,Mogelbaum ,Mogelbaum ,Sudowoodo ,Usokkie ,ウソッキー ,2. Generation Gen2 ,Gestein,344,299,159,329,229,159,1519,PU,1.2,38,brown,Form 12: Humanoider Körper ,Imitation
186,Quaxo ,Quaxo ,Politoed ,Nyorotono ,ニョロトノ ,2. Generation Gen2 ,Wasser,384,249,279,249,299,239,1699,NU,1.1,33.9,green,Form 12: Humanoider Körper ,Frosch
187,Hoppspross ,Hoppspross ,Hoppip ,Hanecco ,ハネッコ ,2. Generation Gen2 ,PflanzeFlug,274,169,169,179,209,199,1199,LC,0.4,0.5,pink,Form 6: Zweibeiner mit Schweif ,Löwenzahn
188,Hubelupf ,Hubelupf ,Skiploom ,Popocco ,ポポッコ ,2. Generation Gen2 ,PflanzeFlug,314,189,189,199,229,259,1379,NFE,0.6,1,green,Form 6: Zweibeiner mit Schweif ,Löwenzahn
189,Papungha ,Papungha ,Jumpluff ,Watacco ,ワタッコ ,2. Generation Gen2 ,PflanzeFlug,354,209,209,239,289,319,1619,PU,0.8,3,blue,Form 6: Zweibeiner mit Schweif ,Löwenzahn
190,Griffel ,Griffel ,Aipom ,Eipam ,エイパム ,2. Generation Gen2 ,Normal,314,239,179,209,209,269,1419,LC,0.8,11.5,purple,Form 6: Zweibeiner mit Schweif ,Langschweif
191,Sonnkern ,Sonnkern ,Sunkern ,Himanuts ,ヒマナッツ ,2. Generation Gen2 ,Pflanze,264,159,159,159,159,159,1059,LC,0.3,1.8,yellow,Form 1: Kopf-Körper ,Samen
192,Sonnflora ,Sonnflora ,Sunflora ,Kimawari ,キマワリ ,2. Generation Gen2 ,Pflanze,354,249,309,209,269,159,1549,PU,0.8,8.5,yellow,Form 12: Humanoider Körper ,Sonne
193,Yanma ,Yanma ,Yanma ,Yanyanma ,ヤンヤンマ ,2. Generation Gen2 ,KäferFlug,334,229,249,189,189,289,1479,NFE,1.2,38,red,Form 13: Geflügelte Insekten ,Libelle
194,Felino ,Felino ,Wooper ,Upah ,ウパー ,2. Generation Gen2 ,WasserBoden,314,189,149,189,149,129,1119,LC,0.4,8.5,blue,Form 7: Kopf überwiegend mit Beinen ,Fisch
195,Morlord ,Morlord ,Quagsire ,Nuoh ,ヌオー ,2. Generation Gen2 ,WasserBoden,394,269,229,269,229,169,1559,RU,1.4,75,blue,Form 6: Zweibeiner mit Schweif ,Fisch
196,Psiana ,Psiana ,Espeon ,Eifie ,エーフィ ,2. Generation Gen2 ,Psycho,334,229,359,219,289,319,1749,RU,0.9,26.5,purple,Form 8: Vierbeiner ,Sonne
197,Nachtara ,Nachtara ,Umbreon ,Blacky ,ブラッキー ,2. Generation Gen2 ,Unlicht,394,229,219,319,359,229,1749,RU,1,27,black,Form 8: Vierbeiner ,Mondschein
198,Kramurx ,Kramurx ,Murkrow ,Yamikarasu ,ヤミカラス ,2. Generation Gen2 ,UnlichtFlug,324,269,269,183,183,281,1509,NFE,0.5,2.1,black,Form 9: Vogel-Form ,Finsternis
199,Laschoking ,Laschoking ,Slowking ,Yadoking ,ヤドキング ,2. Generation Gen2 ,WasserPsycho,394,249,299,259,319,159,1679,NU,2,79.5,pink,Form 6: Zweibeiner mit Schweif ,Monarch
200,Traunfugil ,Traunfugil ,Misdreavus ,Muma ,ムウマ ,2. Generation Gen2 ,Geist,324,219,269,219,269,269,1569,NFE,0.7,1,grey,Form 1: Kopf-Körper ,Kreischer
201,Icognito ,Icognito ,Unown ,Unknown ,アンノーン ,2. Generation Gen2 ,Psycho,300,243,243,195,195,195,1371,PU,0.5,5,black,Form 1: Kopf-Körper ,Symbol
202,Woingenau ,Woingenau ,Wobbuffet ,Sonans ,ソーナンス ,2. Generation Gen2 ,Psycho,584,165,165,215,215,165,1509,PU,1.3,28.5,blue,Form 5: Kopf überwiegend mit Rumpf ,Geduld
203,Girafarig ,Girafarig ,Girafarig ,Kirinriki ,キリンリキ ,2. Generation Gen2 ,NormalPsycho,344,259,279,229,229,269,1609,PU,1.5,41.5,yellow,Form 8: Vierbeiner ,Langhals
204,Tannza ,Tannza ,Pineco ,Kunugidama ,クヌギダマ ,2. Generation Gen2 ,Käfer,304,229,169,279,169,129,1279,LC,0.6,7.2,grey,Form 1: Kopf-Körper ,Beutelwurm
205,Forstellka ,Forstellka ,Forretress ,Foretos ,フォレトス ,2. Generation Gen2 ,KäferStahl,354,279,219,379,219,179,1629,UU,1.2,125.8,purple,Form 1: Kopf-Körper ,Beutelwurm
206,Dummisel ,Dummisel ,Dunsparce ,Nokocchi ,ノコッチ ,2. Generation Gen2 ,Normal,404,239,229,239,229,189,1529,PU,1.5,14,yellow,Form 2: Schlangen-Form ,Schlange
207,Skorgla ,Skorgla ,Gligar ,Gliger ,グライガー ,2. Generation Gen2 ,BodenFlug,334,249,169,309,229,269,1559,RU,1.1,64.8,purple,Form 9: Vogel-Form ,Flugskorpi
208,Stahlos ,Stahlos ,Steelix ,Haganeil ,ハガネール ,2. Generation Gen2 ,StahlBoden,354,269,209,499,229,159,1719,RU,9.2,400,grey,Form 2: Schlangen-Form ,Stahlboa
209,Snubbull ,Snubbull ,Snubbull ,Bulu ,ブルー ,2. Generation Gen2 ,Fee,324,259,179,199,179,159,1299,LC,0.6,7.8,pink,Form 12: Humanoider Körper ,Fee
210,Granbull ,Granbull ,Granbull ,Granbulu ,グランブル ,2. Generation Gen2 ,Fee,384,339,219,249,219,189,1599,NU,1.4,48.7,purple,Form 6: Zweibeiner mit Schweif ,Fee
211,Baldorfish ,Baldorfish ,Qwilfish ,Harysen ,ハリーセン ,2. Generation Gen2 ,WasserGift,334,289,209,269,209,269,1579,PU,0.5,3.9,grey,Form 3: Fisch-Form ,Ballon
212,Scherox ,Scherox ,Scizor ,Hassam ,ハッサム ,2. Generation Gen2 ,KäferStahl,344,359,209,299,259,229,1699,OU,1.8,118,red,Form 13: Geflügelte Insekten ,Kneifer
213,Pottrott ,Pottrott ,Shuckle ,Tsubotsubo ,ツボツボ ,2. Generation Gen2 ,KäferGestein,244,119,119,559,559,109,1709,NU,0.6,20.5,yellow,Form 14: Kriechende Insekten ,Schimmel
214,Skaraborn ,Skaraborn ,Heracross ,Heracros ,ヘラクロス ,2. Generation Gen2 ,KäferKampf,364,349,179,249,289,269,1699,BL,1.5,54,blue,Form 12: Humanoider Körper ,Einzelhorn
215,Sniebel ,Sniebel ,Sneasel ,Nyula ,ニューラ ,2. Generation Gen2 ,UnlichtEis,314,289,169,209,249,329,1559,NFE,0.9,28,black,Form 6: Zweibeiner mit Schweif ,Stichklaue
216,Teddiursa ,Teddiursa ,Teddiursa ,Himeguma ,ヒメグマ ,2. Generation Gen2 ,Normal,324,259,199,199,199,179,1359,LC,0.6,8.8,brown,Form 6: Zweibeiner mit Schweif ,Kleinbär
217,Ursaring ,Ursaring ,Ursaring ,Ringuma ,リングマ ,2. Generation Gen2 ,Normal,384,359,249,249,249,209,1699,PU,1.8,125.8,brown,Form 6: Zweibeiner mit Schweif ,Schläfer
218,Schneckmag ,Schneckmag ,Slugma ,Magmag ,マグマッグ ,2. Generation Gen2 ,Feuer,284,179,239,179,179,139,1199,LC,0.7,35,red,Form 2: Schlangen-Form ,Lava
219,Magcargo ,Magcargo ,Magcargo ,Magcargot ,マグカルゴ ,2. Generation Gen2 ,FeuerGestein,324,199,279,339,259,159,1559,PU,0.8,55,red,Form 2: Schlangen-Form ,Lava
220,Quiekel ,Quiekel ,Swinub ,Urimoo ,ウリムー ,2. Generation Gen2 ,EisBoden,304,199,159,179,159,199,1199,LC,0.4,6.5,brown,Form 8: Vierbeiner ,Ferkel
221,Keifel ,Keifel ,Piloswine ,Inomoo ,イノムー ,2. Generation Gen2 ,EisBoden,404,299,219,259,219,199,1599,NFE,1.1,55.8,brown,Form 8: Vierbeiner ,Schwein
222,Corasonn ,Corasonn ,Corsola ,Sunnygo ,サニーゴ ,2. Generation Gen2 ,WasserGestein,334,209,229,289,289,169,1519,PU,0.6,5,pink,Form 14: Kriechende Insekten ,Koralle
223,Remoraid ,Remoraid ,Remoraid ,Teppouo ,テッポウオ ,2. Generation Gen2 ,Wasser,274,229,229,169,169,229,1299,LC,0.6,12,grey,Form 3: Fisch-Form ,Hochdruck
224,Octillery ,Octillery ,Octillery ,Okutank ,オクタン ,2. Generation Gen2 ,Wasser,354,309,309,249,249,189,1659,PU,0.9,28.5,red,Form 10: Tentakel-Körper ,Hochdruck
225,Botogel ,Botogel ,Delibird ,Delibird ,デリバード ,2. Generation Gen2 ,EisFlug,294,209,229,189,189,249,1359,PU,0.9,16,red,Form 9: Vogel-Form ,Lieferant
226,Mantax ,Mantax ,Mantine ,Mantain ,マンタイン ,2. Generation Gen2 ,WasserFlug,374,179,259,239,379,239,1669,UU,2.1,220,purple,Form 9: Vogel-Form ,Flugrochen
227,Panzaeron ,Panzaeron ,Skarmory ,Airmd ,エアームド ,2. Generation Gen2 ,StahlFlug,334,259,179,379,239,239,1629,OU,1.7,50.5,grey,Form 9: Vogel-Form ,Flugstahl
228,Hunduster ,Hunduster ,Houndour ,Delvil ,デルビル ,2. Generation Gen2 ,UnlichtFeuer,294,219,259,159,199,229,1359,LC,0.6,10.8,black,Form 8: Vierbeiner ,Hades
229,Hundemon ,Hundemon ,Houndoom ,Hellgar ,ヘルガー ,2. Generation Gen2 ,UnlichtFeuer,354,279,319,199,259,289,1699,BL,1.4,35,black,Form 8: Vierbeiner ,Hades
230,Seedraking ,Seedraking ,Kingdra ,Kingdra ,キングドラ ,2. Generation Gen2 ,WasserDrache,354,289,289,289,289,269,1779,OU,1.8,152,blue,Form 5: Kopf überwiegend mit Rumpf ,Drache
231,Phanpy ,Phanpy ,Phanpy ,Gomazou ,ゴマゾウ ,2. Generation Gen2 ,Boden,384,219,179,219,179,179,1359,LC,0.5,33.5,blue,Form 8: Vierbeiner ,Langrüssel
232,Donphan ,Donphan ,Donphan ,Donfan ,ドンファン ,2. Generation Gen2 ,Boden,384,339,219,339,219,199,1699,RU,1.1,120,grey,Form 8: Vierbeiner ,Panzer
233,Porygon2 ,Porygon2 ,Porygon2 ,Porygon2 ,ポリゴン2 ,2. Generation Gen2 ,Normal,374,259,309,279,289,219,1729,RU,0.6,32.5,red,Form 7: Kopf überwiegend mit Beinen ,Virtuell
234,Damhirplex ,Damhirplex ,Stantler ,Odoshishi ,オドシシ ,2. Generation Gen2 ,Normal,350,289,269,223,229,269,1629,PU,1.4,71.2,brown,Form 8: Vierbeiner ,Vielender
235,Farbeagle ,Farbeagle ,Smeargle ,Doble ,ドーブル ,2. Generation Gen2 ,Normal,314,139,139,169,189,249,1199,UU,1.2,58,white,Form 6: Zweibeiner mit Schweif ,Maler
236,Rabauz ,Rabauz ,Tyrogue ,Balkie ,バルキー ,2. Generation Gen2 ,Kampf,274,169,169,169,169,169,1119,LC,0.7,21,purple,Form 12: Humanoider Körper ,Racker
237,Kapoera ,Kapoera ,Hitmontop ,Kapoerer ,カポエラー ,2. Generation Gen2 ,Kampf,304,289,169,289,319,239,1609,NU,1.4,48,brown,Form 6: Zweibeiner mit Schweif ,Kopfstand
238,Kussilla ,Kussilla ,Smoochum ,Muchul ,ムチュール ,2. Generation Gen2 ,EisPsycho,294,159,269,129,229,229,1309,LC,0.4,6,pink,Form 12: Humanoider Körper ,Kuss
239,Elekid ,Elekid ,Elekid ,Elekid ,エレキッド ,2. Generation Gen2 ,Elektro,294,225,229,173,209,289,1419,LC,0.6,23.5,yellow,Form 12: Humanoider Körper ,Elektro
240,Magby ,Magby ,Magby ,Buby ,ブビィ ,2. Generation Gen2 ,Feuer,294,249,239,173,209,265,1429,LC,0.7,21.4,red,Form 6: Zweibeiner mit Schweif ,Glutherd
241,Miltank ,Miltank ,Miltank ,Miltank ,ミルタンク ,2. Generation Gen2 ,Normal,394,259,179,309,239,299,1679,NU,1.2,75.5,pink,Form 6: Zweibeiner mit Schweif ,Milchkuh
242,Heiteira ,Heiteira ,Blissey ,Happinas ,ハピナス ,2. Generation Gen2 ,Normal,714,119,249,119,369,209,1779,UU,1.5,46.8,pink,Form 12: Humanoider Körper ,Freude
243,Raikou ,Raikou ,Raikou ,Raikou ,ライコウ ,2. Generation Gen2 ,Elektro,384,269,329,249,299,329,1859,UU,1.9,178,yellow,Form 8: Vierbeiner ,Donner
244,Entei ,Entei ,Entei ,Entei ,エンテイ ,2. Generation Gen2 ,Feuer,434,329,279,269,249,299,1859,UU,2.1,198,brown,Form 8: Vierbeiner ,Vulkan
245,Suicune ,Suicune ,Suicune ,Suicune ,スイクン ,2. Generation Gen2 ,Wasser,404,249,279,329,329,269,1859,UU,2,187,blue,Form 8: Vierbeiner ,Polarlicht
246,Larvitar ,Larvitar ,Larvitar ,Yogiras ,ヨーギラス ,2. Generation Gen2 ,GesteinBoden,304,227,189,199,199,181,1299,LC,0.6,72,green,Form 6: Zweibeiner mit Schweif ,Felshaut
247,Pupitar ,Pupitar ,Pupitar ,Sanagiras ,サナギラス ,2. Generation Gen2 ,GesteinBoden,344,267,229,239,239,201,1519,NFE,1.2,152,grey,Form 2: Schlangen-Form ,Hartschale
248,Despotar ,Despotar ,Tyranitar ,Bangiras ,バンギラス ,2. Generation Gen2 ,GesteinUnlicht,404,367,289,319,299,221,1899,OU,2,202,green,Form 6: Zweibeiner mit Schweif ,Panzer
249,Lugia ,Lugia ,Lugia ,Lugia ,ルギア ,2. Generation Gen2 ,PsychoFlug,416,279,279,359,407,319,2059,Uber,5.2,216,white,Form 9: Vogel-Form ,Taucher
250,Ho-oh ,Ho-oh ,Ho-Oh ,Houou ,ホウオウ ,2. Generation Gen2 ,FeuerFlug,416,359,319,279,407,279,2059,Uber,3.8,199,red,Form 9: Vogel-Form ,Regenbogen
251,Celebi ,Celebi ,Celebi ,Celebi ,セレビィ ,2. Generation Gen2 ,PsychoPflanze,404,299,299,299,299,299,1899,UU,0.6,5,green,Form 12: Humanoider Körper ,Zeitreise
252,Geckarbor ,Geckarbor ,Treecko ,Kimori ,キモリ ,3. Generation Gen3 ,Pflanze,284,189,229,169,209,239,1319,LC,0.5,5,green,Form 6: Zweibeiner mit Schweif ,Waldgecko
253,Reptain ,Reptain ,Grovyle ,Juptile ,ジュプトル ,3. Generation Gen3 ,Pflanze,304,229,269,189,229,289,1509,NFE,0.9,21.6,green,Form 6: Zweibeiner mit Schweif ,Waldgecko
254,Gewaldro ,Gewaldro ,Sceptile ,Jukain ,ジュカイン ,3. Generation Gen3 ,Pflanze,344,269,309,229,269,339,1759,UU,1.7,52.2,green,Form 6: Zweibeiner mit Schweif ,Dschungel
255,Flemmli ,Flemmli ,Torchic ,Achamo ,アチャモ ,3. Generation Gen3 ,Feuer,294,219,239,179,199,189,1319,LC,0.4,2.5,red,Form 7: Kopf überwiegend mit Beinen ,Küken
256,Jungglut ,Jungglut ,Combusken ,Wakasyamo ,ワカシャモ ,3. Generation Gen3 ,FeuerKampf,324,269,269,219,219,209,1509,NFE,0.9,19.5,red,Form 6: Zweibeiner mit Schweif ,Kleinhahn
257,Lohgock ,Lohgock ,Blaziken ,Bursyamo ,バシャーモ ,3. Generation Gen3 ,FeuerKampf,364,339,319,239,239,259,1759,Uber,1.9,52,red,Form 6: Zweibeiner mit Schweif ,Großbrand
258,Hydropi ,Hydropi ,Mudkip ,Mizugorou ,ミズゴロウ ,3. Generation Gen3 ,Wasser,304,239,199,199,199,179,1319,LC,0.4,7.6,blue,Form 8: Vierbeiner ,Lehmhüpfer
259,Moorabbel ,Moorabbel ,Marshtomp ,Numacraw ,ヌマクロー ,3. Generation Gen3 ,WasserBoden,344,269,219,239,239,199,1509,NFE,0.7,28,blue,Form 6: Zweibeiner mit Schweif ,Lehmhüpfer
260,Sumpex ,Sumpex ,Swampert ,Laglarge ,ラグラージ ,3. Generation Gen3 ,WasserBoden,404,319,269,279,279,219,1769,OU,1.5,81.9,blue,Form 6: Zweibeiner mit Schweif ,Lehmhüpfer
261,Fiffyen ,Fiffyen ,Poochyena ,Pochiena ,ポチエナ ,3. Generation Gen3 ,Unlicht,274,209,159,169,159,169,1139,LC,0.5,13.6,grey,Form 8: Vierbeiner ,Biss
262,Magnayen ,Magnayen ,Mightyena ,Guraena ,グラエナ ,3. Generation Gen3 ,Unlicht,344,279,219,239,219,239,1539,PU,1,37,grey,Form 8: Vierbeiner ,Biss
263,Zigzachs ,Zigzachs ,Zigzagoon ,Ziguzaguma ,ジグザグマ ,3. Generation Gen3 ,Normal,280,159,159,181,181,219,1179,LC,0.4,17.5,brown,Form 8: Vierbeiner ,Kleindachs
264,Geradaks ,Geradaks ,Linoone ,Massuguma ,マッスグマ ,3. Generation Gen3 ,Normal,360,239,199,221,221,299,1539,RU,0.5,32.5,brown,Form 8: Vierbeiner ,Sprinter
265,Waumpel ,Waumpel ,Wurmple ,Kemusso ,ケムッソ ,3. Generation Gen3 ,Käfer,294,189,139,169,159,139,1089,LC,0.3,3.6,red,Form 2: Schlangen-Form ,Wurm
